tanggal;wilayah;waktu;cuaca;kelembaban_persen;suhu_derajat_celcius
10/01/2017;Jakarta Utara;Pagi;Berawan;75 - 100 ;22 - 32
10/01/2017;Jakarta Utara;Siang;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;75 - 100 ;22 - 32
11/01/2017;Jakarta Barat;Malam;Hujan Sedang;65 - 97;22 - 32
11/01/2017;Jakarta Barat;Pagi;Berawan;65 - 97;22 - 32
11/01/2017;Jakarta Barat;Siang;Hujan Sedang;65 - 97;22 - 32
11/01/2017;Jakarta Pusat;Malam;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Jakarta Pusat;Pagi;Berawan;65 - 97;22 - 32
11/01/2017;Jakarta Pusat;Siang;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Jakarta Selatan;Malam;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Jakarta Selatan;Pagi;Berawan;65 - 97;22 - 32
11/01/2017;Jakarta Selatan;Siang;Hujan Sedang;65 - 97;22 - 32
11/01/2017;Jakarta Timur;Malam;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Jakarta Timur;Pagi;Berawan;65 - 97;22 - 32
11/01/2017;Jakarta Timur;Siang;Hujan Sedang;65 - 97;22 - 32
11/01/2017;Jakarta Utara;Malam;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Jakarta Utara;Pagi;Berawan;65 - 97;22 - 32
11/01/2017;Jakarta Utara;Siang;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;65 - 97;22 - 32
11/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;65 - 97;22 - 32
12/01/2017;Jakarta Barat;Dini Hari;Hujan Petir;65 - 95 ;23 - 33
12/01/2017;Jakarta Barat;Malam;Hujan Petir;65 - 95 ;23 - 33
12/01/2017;Jakarta Barat;Pagi;Berawan Tebal;65 - 95 ;23 - 33
12/01/2017;Jakarta Barat;Siang;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Pusat;Dini Hari;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Pusat;Malam;Hujan Petir;65 - 95 ;23 - 33
12/01/2017;Jakarta Pusat;Pagi;Berawan Tebal;65 - 95 ;23 - 33
12/01/2017;Jakarta Pusat;Siang;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Selatan;Dini Hari;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Selatan;Malam;Hujan Petir;65 - 95 ;23 - 33
12/01/2017;Jakarta Selatan;Pagi;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Selatan;Siang;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Timur;Dini Hari;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Timur;Malam;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Timur;Pagi;Berawan Tebal;65 - 95 ;23 - 33
12/01/2017;Jakarta Timur;Siang;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Utara;Dini Hari;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Utara;Malam;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Jakarta Utara;Pagi;Berawan Tebal;65 - 95 ;23 - 33
12/01/2017;Jakarta Utara;Siang;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Kepulauan Seribu;Dini Hari;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Kepulauan Seribu;Malam;Hujan Lokal;65 - 95 ;23 - 33
12/01/2017;Kepulauan Seribu;Pagi;Berawan Tebal;65 - 95 ;23 - 33
12/01/2017;Kepulauan Seribu;Siang;Hujan Lokal;65 - 95 ;23 - 33
13/01/2017;Jakarta Barat;Malam;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Jakarta Barat;Pagi;Berawan;60 - 95 ;24 - 32
13/01/2017;Jakarta Barat;Siang;Hujan Sedang;60 - 95 ;24 - 32
13/01/2017;Jakarta Pusat;Malam;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Jakarta Pusat;Pagi;Berawan;60 - 95 ;24 - 32
13/01/2017;Jakarta Pusat;Siang;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Jakarta Selatan;Malam;Hujan Sedang;60 - 95 ;24 - 32
13/01/2017;Jakarta Selatan;Pagi;Berawan;60 - 95 ;24 - 32
13/01/2017;Jakarta Selatan;Siang;Hujan Sedang;60 - 95 ;24 - 32
13/01/2017;Jakarta Timur;Malam;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Jakarta Timur;Pagi;Berawan;60 - 95 ;24 - 32
13/01/2017;Jakarta Timur;Siang;Hujan Sedang;60 - 95 ;24 - 32
13/01/2017;Jakarta Utara;Malam;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Jakarta Utara;Pagi;Berawan;60 - 95 ;24 - 32
13/01/2017;Jakarta Utara;Siang;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95 ;24 - 32
13/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;60 - 95 ;24 - 32
14/01/2017;Jakarta Barat;Malam;Berawan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Barat;Pagi;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Barat;Siang;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Pusat;Malam;Berawan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Pusat;Pagi;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Pusat;Siang;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Selatan;Malam;Berawan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Selatan;Pagi;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Selatan;Siang;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Timur;Malam;Berawan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Timur;Pagi;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Timur;Siang;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Utara;Malam;Berawan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Utara;Pagi;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Jakarta Utara;Siang;Hujan Ringan;80 - 95 ;22 - 33 
14/01/2017;Kepulauan Seribu;Malam;Cerah Berawan;80 - 95 ;22 - 33 
14/01/2017;Kepulauan Seribu;Pagi;Hujan Sedang;80 - 95 ;22 - 33 
14/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;80 - 95 ;22 - 33 
15/01/2017;Jakarta Barat;Malam;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Barat;Pagi;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Barat;Siang;Berawan Tebal;60 - 95 ;24 - 34 
15/01/2017;Jakarta Pusat;Malam;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Pusat;Pagi;Berawan Tebal;60 - 95 ;24 - 34 
15/01/2017;Jakarta Pusat;Siang;Berawan Tebal ;60 - 95 ;24 - 34 
15/01/2017;Jakarta Selatan;Malam;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Selatan;Pagi;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Selatan;Siang;Berawan Tebal;60 - 95 ;24 - 34 
15/01/2017;Jakarta Timur;Malam;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Timur;Pagi;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Timur;Siang;Berawan Tebal;60 - 95 ;24 - 34 
15/01/2017;Jakarta Utara;Malam;Berawan;60 - 95 ;24 - 34 
15/01/2017;Jakarta Utara;Pagi;Berawan Tebal ;60 - 95 ;24 - 34 
15/01/2017;Jakarta Utara;Siang;Berawan Tebal;60 - 95 ;24 - 34 
15/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;60 - 95 ;24 - 34 
15/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95 ;24 - 34 
15/01/2017;Kepulauan Seribu;Siang;Berawan Tebal;60 - 95 ;24 - 34 
16/01/2017;Jakarta Barat;Malam;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Barat;Pagi;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Barat;Siang;Hujan Petir;85 - 100 ;22 - 30
16/01/2017;Jakarta Pusat;Malam;Berawan Tebal;85 - 100 ;22 - 30
16/01/2017;Jakarta Pusat;Pagi;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Pusat;Siang;Hujan Sedang;85 - 100 ;22 - 30
16/01/2017;Jakarta Selatan;Malam;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Selatan;Pagi;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Selatan;Siang;Hujan Petir;85 - 100 ;22 - 30
16/01/2017;Jakarta Timur;Malam;Berawan tebal;85 - 100 ;22 - 30
16/01/2017;Jakarta Timur;Pagi;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Jakarta Timur;Siang;Hujan Petir;85 - 100 ;22 - 30
16/01/2017;Jakarta Utara;Malam;Berawan Tebal;85 - 100 ;22 - 30
16/01/2017;Jakarta Utara;Pagi;Hujan Ringan;85 - 100 ;22 - 30
16/01/2017;Jakarta Utara;Siang;Hujan Ringan;85 - 100 ;22 - 30
16/01/2017;Kepulauan Seribu;Malam;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Kepulauan Seribu;Pagi;Hujan Lokal;85 - 100 ;22 - 30
16/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;85 - 100 ;22 - 30
17/01/2017;Jakarta Barat;Malam;Cerah Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Barat;Pagi;Hujan Lokal;60 - 100 ;22 - 33 
17/01/2017;Jakarta Barat;Siang;Hujan Sedang;60 - 100 ;22 - 33 
17/01/2017;Jakarta Pusat;Malam;Cerah Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Pusat;Pagi;Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Pusat;Siang;Hujan Ringan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Selatan;Malam;Cerah Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Selatan;Pagi;Hujan Lokal;60 - 100 ;22 - 33 
17/01/2017;Jakarta Selatan;Siang;Hujan Sedang;60 - 100 ;22 - 33 
17/01/2017;Jakarta Timur;Malam;Cerah Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Timur;Pagi;Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Timur;Siang;Hujan Ringan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Utara;Malam;Cerah Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Utara;Pagi;Berawan;60 - 100 ;22 - 33 
17/01/2017;Jakarta Utara;Siang;Hujan Ringan;60 - 100 ;22 - 33 
17/01/2017;Kepulauan Seribu;Malam;Hujan Lokal;60 - 100 ;22 - 33 
17/01/2017;Kepulauan Seribu;Pagi;Hujan Petir;60 - 100 ;22 - 33 
17/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;60 - 100 ;22 - 33 
19/01/2017;Jakarta Barat;Malam;Hujan Sedang;60 - 95;22 - 32
19/01/2017;Jakarta Barat;Pagi;Berawan;60 - 95;22 - 32
19/01/2017;Jakarta Barat;Siang;Hujan Sedang;60 - 95;22 - 32
19/01/2017;Jakarta Pusat;Malam;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Jakarta Pusat;Pagi;Berawan;60 - 95;22 - 32
19/01/2017;Jakarta Pusat;Siang;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Jakarta Selatan;Malam;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Jakarta Selatan;Pagi;Berawan;60 - 95;22 - 32
19/01/2017;Jakarta Selatan;Siang;Hujan Sedang;60 - 95;22 - 32
19/01/2017;Jakarta Timur;Malam;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Jakarta Timur;Pagi;Berawan;60 - 95;22 - 32
19/01/2017;Jakarta Timur;Siang;Hujan Sedang;60 - 95;22 - 32
19/01/2017;Jakarta Utara;Malam;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Jakarta Utara;Pagi;Berawan;60 - 95;22 - 32
19/01/2017;Jakarta Utara;Siang;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95;22 - 32
19/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;60 - 95;22 - 32
20/01/2017;Jakarta Barat;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Barat;Pagi;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Barat;Siang;Hujan Sedang;55 - 95 ;22 - 32  
20/01/2017;Jakarta Pusat;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Pusat;Pagi;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Pusat;Siang;Hujan Sedang;55 - 95 ;22 - 32  
20/01/2017;Jakarta Selatan;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Selatan;Pagi;Berawan;55 - 95 ;22 - 32  
20/01/2017;Jakarta Selatan;Siang;Hujan Ringan;55 - 95 ;22 - 32  
20/01/2017;Jakarta Timur;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Timur;Pagi;Berawan;55 - 95 ;22 - 32  
20/01/2017;Jakarta Timur;Siang;Hujan Ringan;55 - 95 ;22 - 32  
20/01/2017;Jakarta Utara;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Jakarta Utara;Pagi;Hujan Ringan;55 - 95 ;22 - 32  
20/01/2017;Jakarta Utara;Siang;Hujan Petir;55 - 95 ;22 - 32  
20/01/2017;Kepulauan Seribu;Malam;Berawan Tebal;55 - 95 ;22 - 32  
20/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;55 - 95 ;22 - 32  
20/01/2017;Kepulauan Seribu;Siang;Hujan Sedang;55 - 95 ;22 - 32  
22/01/2017;Jakarta Barat;Malam;Hujan Sedang;60 - 95;22 - 32
22/01/2017;Jakarta Barat;Pagi;Berawan;60 - 95;22 - 32
22/01/2017;Jakarta Barat;Siang;Hujan Sedang;60 - 95;22 - 32
22/01/2017;Jakarta Pusat;Malam;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Jakarta Pusat;Pagi;Berawan;60 - 95;22 - 32
22/01/2017;Jakarta Pusat;Siang;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Jakarta Selatan;Malam;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Jakarta Selatan;Pagi;Berawan;60 - 95;22 - 32
22/01/2017;Jakarta Selatan;Siang;Hujan Sedang;60 - 95;22 - 32
22/01/2017;Jakarta Timur;Malam;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Jakarta Timur;Pagi;Berawan;60 - 95;22 - 32
22/01/2017;Jakarta Timur;Siang;Hujan Sedang;60 - 95;22 - 32
22/01/2017;Jakarta Utara;Malam;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Jakarta Utara;Pagi;Berawan;60 - 95;22 - 32
22/01/2017;Jakarta Utara;Siang;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95;22 - 32
22/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;60 - 95;22 - 32
23/01/2017;Jakarta Barat;Malam;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Barat;Pagi;Berawan Tebal;65 - 90 ;22 - 33
23/01/2017;Jakarta Barat;Siang;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Pusat;Malam;Berawan Tebal;65 - 90 ;22 - 33
23/01/2017;Jakarta Pusat;Pagi;Berawan Tebal;65 - 90 ;22 - 33
23/01/2017;Jakarta Pusat;Siang;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Selatan;Malam;Hujan Ringan;65 - 90 ;22 - 33
23/01/2017;Jakarta Selatan;Pagi;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Selatan;Siang;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Timur;Malam;Hujan Ringan;65 - 90 ;22 - 33
23/01/2017;Jakarta Timur;Pagi;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Timur;Siang;Hujan Lokal;65 - 90 ;22 - 33
23/01/2017;Jakarta Utara;Malam;Berawan Tebal;65 - 90 ;22 - 33
23/01/2017;Jakarta Utara;Pagi;Berawan Tebal;65 - 90 ;22 - 33
23/01/2017;Jakarta Utara;Siang;Hujan Ringan;65 - 90 ;22 - 33
23/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;65 - 90 ;22 - 33
23/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;65 - 90 ;22 - 33
23/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;65 - 90 ;22 - 33
24/01/2017;Jakarta Barat;Malam;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Barat;Pagi;Hujan Sedang;75 - 90;21 - 33
24/01/2017;Jakarta Barat;Siang;Hujan Lokal;75 - 90;21 - 33
24/01/2017;Jakarta Pusat;Malam;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Pusat;Pagi;Hujan Sedang;75 - 90;21 - 33
24/01/2017;Jakarta Pusat;Siang;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Selatan;Malam;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Selatan;Pagi;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Selatan;Siang;Hujan Lokal;75 - 90;21 - 33
24/01/2017;Jakarta Timur;Malam;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Timur;Pagi;Hujan Sedang;75 - 90;21 - 33
24/01/2017;Jakarta Timur;Siang;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Utara;Malam;Hujan Sedang;75 - 90;21 - 33
24/01/2017;Jakarta Utara;Pagi;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Jakarta Utara;Siang;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;75 - 90;21 - 33
24/01/2017;Kepulauan Seribu;Pagi;Hujan Sedang;75 - 90;21 - 33
24/01/2017;Kepulauan Seribu;Siang;Hujan Lokal;75 - 90;21 - 33
25/01/2017;Jakarta Barat;Malam;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Barat;Pagi;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Barat;Siang;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Pusat;Malam;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Pusat;Pagi;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Pusat;Siang;Berawan Tebal;55 - 95 ;21 - 32
25/01/2017;Jakarta Selatan;Malam;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Selatan;Pagi;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Selatan;Siang;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Timur;Malam;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Timur;Pagi;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Timur;Siang;Berawan;55 - 95 ;21 - 32
25/01/2017;Jakarta Utara;Malam;Hujan Lokal;55 - 95 ;21 - 32
25/01/2017;Jakarta Utara;Pagi;Berawan Tebal;55 - 95 ;21 - 32
25/01/2017;Jakarta Utara;Siang;Berawan Tebal;55 - 95 ;21 - 32
